Model,CV Mean RMSE,CV Std RMSE,Test RMSE,Test MAE
LinearRegression,19.86201472207821,1.9467903219965705,12.88959841413878,6.926494199464928
RandomForest,20.551312217846622,1.8532327554261308,15.01835934332935,6.925377143758364
XGBoost,19.96297707711782,1.98410255608608,13.71896025827985,6.2595126774916885
