LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
6,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U5675,7U5675,Connected,EPN-S0000000H7024,H29 BATA PRIMARY,,,"51.4845766861849, 0.409490740594274",Thurrock (B)
9,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000003U0914,3U0914,Connected,EPN-S0000000H3006,A38 MALDON CAUSEWAY PRIMARY,,,"51.7438841806137, 0.675019432766462",Maldon District (B)
16,Generation,Solar PV,0,63,Eastern Power Networks (EPN),EPN-S0000005U1948,5U1948,Connected,EPN-S0000000H5064,L04 CROMER PRIMARY,,,"52.8807465771711, 1.35110571708162",North Norfolk District
35,Generation,Solar PV,0,100,Eastern Power Networks (EPN),EPN-S0000008U2748,8U2748,Connected,EPN-S0000000H8128,F12 AMERSHAM PRIMARY,,,"51.6708385938141, -0.565059751266231",Buckinghamshire
33,Generation,Solar PV,0,107,Eastern Power Networks (EPN),EPN-S0000003U3460,3U3460,Connected,EPN-S0000000H3059,J54 CHISBON HEATH PRIMARY,,,"51.7984038961232, 1.02648248932785",Tendring District
6,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000008U6289,8U6289,Connected,EPN-S0000000H7088,J18 CENTRAL HARPENDEN PRI,,,"51.7944799240964, -0.352776420483946",St. Albans District (B)
16,Generation,Solar PV,0,57,Eastern Power Networks (EPN),EPN-S0000004U1544,4U1544,Connected,EPN-S0000000H4053,B60 SANDY PRIMARY,,,"52.1194464438072, -0.294141730794255",Central Bedfordshire
7,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000008U1331,8U1331,Connected,EPN-S0000000H8072,A28 CHAUL END PRIMARY,,,"51.9047376008464, -0.462724966201365",Luton (B)
6,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U7200,7U7200,Connected,EPN-S0000000H7018,K25 NOAK HILL PRIMARY,,,"51.5957121324814, 0.204753436002028",Havering London Boro
9,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000001U3053,1U3053,Connected,EPN-S0000000H1055,D39 MARTLESHAM PRIMARY,,,"52.0636611031065, 1.24083635056347",East Suffolk District
