LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
9,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000003U2266,3U2266,Connected,EPN-S0000000H3036,J37 EAST BAY PRIMARY,,,"51.8922113590113, 0.909428692421391",Colchester District (B)
20,Generation,Solar PV,0,62,Eastern Power Networks (EPN),EPN-S0000004U3525,4U3525,Connected,EPN-S0000000H4045,E19 SAWSTON PRIMARY,,,"52.091891843376, 0.159349626164744",South Cambridgeshire District
19,Generation,Solar PV,0,70,Eastern Power Networks (EPN),EPN-S0000001U3050,1U3050,Connected,EPN-S0000000H1055,D39 MARTLESHAM PRIMARY,,,"52.0582247598678, 1.26875710642023",East Suffolk District
6,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000005U2265,5U2265,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6288702578973, 1.24763422617624",Norwich District (B)
11,Generation,Solar PV,0,49,Eastern Power Networks (EPN),EPN-S0000005U2211,5U2211,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6287139388646, 1.26806753487743",Norwich District (B)
21,Generation,Solar PV,0,72,Eastern Power Networks (EPN),EPN-S0000005U2154,5U2154,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6298951323698, 1.25923897600625",Norwich District (B)
6,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000005U0610,5U0610,Connected,EPN-S0000000H5021,H10 MAGDALEN WAY PRIMARY,,,"52.5820822994622, 1.72449318722661",Great Yarmouth District (B)
7,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U1383,7U1383,Connected,EPN-S0000000H7069,C35 LEIGH PRIMARY,,,"51.5504992720698, 0.672634449043108",Southend-on-Sea (B)
8,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000007U2295,7U2295,Connected,EPN-S0000000H7038,C51 BELLHOUSE LN PRIMARY,,,"51.5753445827204, 0.640101384547978",Southend-on-Sea (B)
13,Generation,Solar PV,0,52,Eastern Power Networks (EPN),EPN-S0000005U1874,5U1874,Connected,EPN-S0000000H5075,L03 CRINGLEFORD PRIMARY,,,"52.6067811387164, 1.25489337286503",Norwich District (B)
8,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000005U0582,5U0582,Connected,EPN-S0000000H5021,H10 MAGDALEN WAY PRIMARY,,,"52.574226031963, 1.70654473482147",Great Yarmouth District (B)
19,Generation,Solar PV,0,70,Eastern Power Networks (EPN),EPN-S0000005U2142,5U2142,Connected,EPN-S0000000H5016,L05 EAST DEREHAM PRIMARY,,,"52.6798221112546, 0.966885334641976",Breckland District
8,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000005U0859,5U0859,Connected,EPN-S0000000H5056,H13 LOWESTOFT GRID,,,"52.4815912368354, 1.7053766770836",East Suffolk District
9,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000006U0545,6U0545,Connected,EPN-S0000000F6057,C09 PETERBOROUGH EAST 33-11,,,"52.604188471376, -0.200783378246793",City of Peterborough (B)
9,Generation,Solar PV,0,30,Eastern Power Networks (EPN),EPN-S0000001U2950,1U2950,Connected,EPN-S0000000H1059,D36 CLAYDON CEMENT PRIMARY,,,"52.1088291540229, 1.1135660294544",Mid Suffolk District
11,Generation,Solar PV,0,38,Eastern Power Networks (EPN),EPN-S0000007U2922,7U2922,Connected,EPN-S0000000H7055,F29 WEST HERTFORD PRIMARY,,,"51.8019790885529, -0.105314783638736",East Hertfordshire District
6,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000008U1043,8U1043,Connected,EPN-S0000000H8056,A21 LUTON NORTH GRID,,,"51.9095967287394, -0.420142702512908",Luton (B)
7,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000003U2295,3U2295,Connected,EPN-S0000000H3076,J38 SHRUB END PRIMARY,,,"51.8767662733525, 0.836930928436011",Colchester District (B)
8,Generation,Solar PV,0,12,Eastern Power Networks (EPN),EPN-S0000004U2446,4U2446,Connected,EPN-S0000000H4057,E07 BARNWELL PRIMARY,,,"52.213237167074, 0.163907086355435",Cambridge District (B)
10,Generation,Solar PV,0,79,Eastern Power Networks (EPN),EPN-S0000005U0409,5U0409,Connected,EPN-S0000000H5021,H10 MAGDALEN WAY PRIMARY,,,"52.5863862824505, 1.69719243623655",Great Yarmouth District (B)
11,Generation,Solar PV,0,39,Eastern Power Networks (EPN),EPN-S0000008U5154,8U5154,Connected,EPN-S0000000H8060,F25 NORTH DR PRIMARY,,,"51.7978157473735, -0.792159325126567",Buckinghamshire
6,Generation,Solar PV,0,21,Eastern Power Networks (EPN),EPN-S0000006U1838,6U1838,Connected,EPN-S0000000H6016,G06 FAKENHAM PRIMARY,,,"52.8387067359159, 0.854945135735694",North Norfolk District
7,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000004U3771,4U3771,Connected,EPN-S0000000H4028,E66 EXNING PRIMARY,,,"52.25278819234, 0.389392775627721",West Suffolk District
14,Generation,Solar PV,0,251,Eastern Power Networks (EPN),EPN-S0000008U2770,8U2770,Connected,EPN-S0000000H8128,F12 AMERSHAM PRIMARY,,,"51.6711245897818, -0.569430671241919",Buckinghamshire
16,Generation,Solar PV,0,51,Eastern Power Networks (EPN),EPN-S0000003U0929,3U0929,Connected,EPN-S0000000H3006,A38 MALDON CAUSEWAY PRIMARY,,,"51.742218767584, 0.679548881069909",Maldon District (B)
7,Generation,Solar PV,0,18,Eastern Power Networks (EPN),EPN-S0000008U7251,8U7251,Connected,EPN-S0000000H8075,J31 HATFIELD PRIMARY,,,"51.7572457647878, -0.249382025403693",Welwyn Hatfield District (B)
46,Generation,Solar PV,0,130,Eastern Power Networks (EPN),EPN-S0000006U0201,6U0201,Connected,EPN-S0000000F6037,C04 PETERBOROUGH NORTH GRID,,,"52.5975099479967, -0.273964296692314",City of Peterborough (B)
11,Generation,Solar PV,0,33,Eastern Power Networks (EPN),EPN-S0000006U1190,6U1190,Connected,EPN-S0000000H6029,C18 MARCH PRIMARY,,,"52.5473681278208, 0.0784036785650287",Fenland District
74,Generation,Solar PV,0,262,Eastern Power Networks (EPN),EPN-S0000003U2515,3U2515,Connected,EPN-S0000000H3020,J41 PARSONS HEATH PRIMARY,,,"51.8906926531554, 0.933370577702451",Colchester District (B)
11,Generation,Solar PV,0,46,Eastern Power Networks (EPN),EPN-S0000006U0752,6U0752,Connected,EPN-S0000000H6017,C13 FARCET PRIMARY,,,"52.4925964481855, -0.31357484064541",Huntingdonshire District
8,Generation,Solar PV,0,32,Eastern Power Networks (EPN),EPN-S0000003U2604,3U2604,Connected,EPN-S0000000H3024,J42 ALRESFORD PRIMARY,,,"51.8600124693366, 0.95472319293446",Colchester District (B)
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000008U9189,8U9189,Connected,EPN-S0000000H8031,K57 HARROW NORTH GRID,,,"51.5765630020024, -0.367148733505712",Harrow London Boro
8,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000006U1430,6U1430,Connected,EPN-S0000000H6049,C22 WISBECH RAILWAY PRIMARY,,,"52.652881979692, 0.169301633969702",Fenland District
11,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000007U1542,7U1542,Connected,EPN-S0000000H7069,C35 LEIGH PRIMARY,,,"51.5450671866453, 0.65466305104076",Southend-on-Sea (B)
9,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000005U0728,5U0728,Connected,EPN-S0000000H5020,H12 LONG RD PRIMARY,,,"52.457616346831, 1.71001307181774",East Suffolk District
16,Generation,Solar PV,0,38,Eastern Power Networks (EPN),EPN-S0000006U0601,6U0601,Connected,EPN-S0000000F6057,C09 PETERBOROUGH EAST 33-11,,,"52.5951010247742, -0.238939617157874",City of Peterborough (B)
11,Generation,Solar PV,0,42,Eastern Power Networks (EPN),EPN-S0000004U3533,4U3533,Connected,EPN-S0000000H4045,E19 SAWSTON PRIMARY,,,"52.1480177373547, 0.134876877791598",South Cambridgeshire District
6,Generation,Solar PV,0,13,Eastern Power Networks (EPN),EPN-S0000007U1577,7U1577,Connected,EPN-S0000000H7069,C35 LEIGH PRIMARY,,,"51.551327027935, 0.655947223086264",Southend-on-Sea (B)
8,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000003U2967,3U2967,Connected,EPN-S0000000H3021,J47 PELDON PRIMARY,,,"51.779408969724, 0.920742537539203",Colchester District (B)
6,Generation,Solar PV,0,17,Eastern Power Networks (EPN),EPN-S0000004U2076,4U2076,Connected,EPN-S0000000H4041,B65 HILTON PRIMARY,,,"52.2553904293761, -0.0728922356052862",South Cambridgeshire District
8,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-R00000000B53H-000-240Z,4R1523,Connected,EPN-S0000000F4055,B53 LITTLE BARFORD 11KV,,,"52.1896896669083, -0.142835069359817",Huntingdonshire District
15,Generation,Solar PV,0,64,Eastern Power Networks (EPN),EPN-S0000006U1637,6U1637,Connected,EPN-S0000000H6076,C57 ORTON PRIMARY,,,"52.5317648451983, -0.394874168692127",Huntingdonshire District
7,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S000000GH4007,GH4007,Connected,EPN-S0000000H4007,E02 ELY PRIMARY,,,"52.3977569332458, 0.255853404234338",East Cambridgeshire District
6,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000004U2407,4U2407,Connected,EPN-S0000000H4042,E03 LITTLEPORT PRIMARY,,,"52.4467611459369, 0.298050298664393",East Cambridgeshire District
6,Generation,Solar PV,0,13,Eastern Power Networks (EPN),EPN-S0000007U5018,7U5018,Connected,EPN-S0000000H7074,G33 LONSDALE DR PRIMARY,,,"51.6544028228147, -0.113974139721988",Enfield London Boro
12,Generation,Solar PV,0,44,Eastern Power Networks (EPN),EPN-S0000005U3866,5U3866,Connected,EPN-S0000000H5074,L33 BEIGHTON PRIMARY,,,"52.6430389960326, 1.54525572085108",Broadland District
11,Generation,Solar PV,0,34,Eastern Power Networks (EPN),EPN-S0000008U1110,8U1110,Connected,EPN-S0000000H8019,A24 STOPSLEY PRIMARY,,,"51.8955429487534, -0.402659690442903",Luton (B)
13,Generation,Solar PV,0,47,Eastern Power Networks (EPN),EPN-S0000001U2660,1U2660,Connected,EPN-S0000000H1065,D28 LANGLEY AV PRIMARY,,,"51.9732602608095, 1.37111417890538",East Suffolk District
10,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000006U2414,6U2414,Connected,EPN-S0000000H6064,G14 OUTWELL MOORS PRIMARY,,,"52.6072224159255, 0.2293450562506",King's Lynn and West Norfolk District (B)
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000008U1076,8U1076,Connected,EPN-S0000000H8056,A21 LUTON NORTH GRID,,,"51.9136441086262, -0.441592539788201",Luton (B)
8,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000003U0312,3U0312,Connected,EPN-S0000000H3014,A16 BRAINTREE DEPOT PRIMARY,,,"51.8841529275902, 0.565368057655264",Braintree District
7,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000006U2099,6U2099,Connected,EPN-S0000000H6002,G08 AUSTIN STREET PRIMARY,,,"52.7659359728202, 0.405852433374881",King's Lynn and West Norfolk District (B)
6,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000007U1958,7U1958,Connected,EPN-S0000000H7054,C42 UPLANDS PK PRIMARY,,,"51.6009595142332, 0.606520680774348",Rochford District
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000004U1295,4U1295,Connected,EPN-S0000000F4055,B53 LITTLE BARFORD 11KV,,,"52.2120364193667, -0.270828542198307",Huntingdonshire District
13,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000001U0386,1U0386,Connected,EPN-S0000000H1014,B10 DISS GRID,,,"52.381676828004, 1.10387999982495",South Norfolk District
8,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-R00000000G06D-000-160Z,6R2922,Connected,EPN-S0000000H6016,G06 FAKENHAM PRIMARY,,,"52.8017912769985, 0.846115682159968",Breckland District
9,Generation,Solar PV,0,30,Eastern Power Networks (EPN),EPN-S0000008U3309,8U3309,Connected,EPN-S0000000H8157,F15 GT MISSENDEN PRIMARY,,,"51.6958064326535, -0.731948686200661",Buckinghamshire
14,Generation,Solar PV,0,42,Eastern Power Networks (EPN),EPN-S0000008U6547,8U6547,Connected,EPN-S0000000H8047,J20 ADELAIDE ST PRIMARY,,,"51.7607199763023, -0.316658647350261",St. Albans District (B)
19,Generation,Solar PV,0,57,Eastern Power Networks (EPN),EPN-S0000005U1570,5U1570,Connected,EPN-S0000000H5027,H38 BENHALL PRIMARY,,,"52.2172672280969, 1.48536520126841",East Suffolk District
11,Generation,Solar PV,0,42,Eastern Power Networks (EPN),EPN-S0000004U4044,4U4044,Connected,EPN-S0000000H4059,J08 BIGGLESWADE PRIMARY,,,"52.0933463465933, -0.265386953190856",Central Bedfordshire
11,Generation,Solar PV,0,38,Eastern Power Networks (EPN),EPN-S0000005U1771,5U1771,Connected,EPN-S0000000H5063,L02 ATTLEBOROUGH PRIMARY,,,"52.5146596613446, 1.0117411967734",Breckland District
26,Generation,Solar PV,0,85,Eastern Power Networks (EPN),EPN-S0000003U2984,3U2984,Connected,EPN-S0000000H3021,J47 PELDON PRIMARY,,,"51.777500170806, 0.9291072649946",Colchester District (B)
9,Generation,Solar PV,0,33,Eastern Power Networks (EPN),EPN-S0000007U0943,7U0943,Connected,EPN-S0000000H7141,C29 CHALVEDON PRIMARY,,,"51.5664492332638, 0.51687030547851",Basildon District (B)
7,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000007U3008,7U3008,Connected,EPN-S0000000H7020,F42 THORLEY PRIMARY,,,"51.8064302990108, 0.137079070300326",East Hertfordshire District
18,Generation,Solar PV,0,63,Eastern Power Networks (EPN),EPN-R00000000D28C-000-045Z,1R6020,Connected,EPN-S0000000H1065,D28 LANGLEY AV PRIMARY,,,"52.0033853810402, 1.32361730190715",East Suffolk District
8,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000007U0466,7U0466,Connected,EPN-S0000000H7003,C24 BASILDON LOCAL PRIMARY,,,"51.5767113872172, 0.46822450450345",Basildon District (B)
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000004U0298,4U0298,Connected,EPN-S0000000H4034,A01 AMPTHILL PRIMARY,,,"52.0217563278738, -0.493932595262768",Central Bedfordshire
21,Generation,Solar PV,0,79,Eastern Power Networks (EPN),EPN-S0000003U1014,3U1014,Connected,EPN-S0000000H3062,A40 MALDON WICK PRIMARY,,,"51.7176327871493, 0.676362743217233",Maldon District (B)
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000007U2112,7U2112,Connected,EPN-S0000000H7037,C41 WICKFORD PRIMARY,,,"51.6063575248309, 0.54627057171113",Basildon District (B)
6,Generation,Solar PV,0,11,Eastern Power Networks (EPN),EPN-S0000005U2456,5U2456,Connected,EPN-S0000000H5045,L09 HEMBLINGTON PRIMARY,,,"52.6763085630462, 1.41277923085899",Broadland District
7,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000006U2783,6U2783,Connected,EPN-S0000000H6066,G48 SOUTHERY PRIMARY,,,"52.5268823009975, 0.395947820889484",King's Lynn and West Norfolk District (B)
9,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000006U1652,6U1652,Connected,EPN-S0000000H6077,C56 WALSOKEN GRID,,,"52.6720423287433, 0.17307894615603",Fenland District
22,Generation,Solar PV,0,99,Eastern Power Networks (EPN),EPN-S0000004U2670,4U2670,Connected,EPN-S0000000F4065,E14 FULBOURN GRID,,,"52.2200912409491, 0.173041122675175",South Cambridgeshire District
8,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000008U3363,8U3363,Connected,EPN-S0000000H8004,F14 BOIS LN PRIMARY,,,"51.6852522355499, -0.60514822668695",Buckinghamshire
8,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000004U2123,4U2123,Connected,EPN-S0000000H6053,C17 CHATTERIS PRIMARY,,,"52.3840691411854, 0.0046809242159157",Huntingdonshire District
9,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000007U2066,7U2066,Connected,EPN-S0000000H7054,C42 UPLANDS PK PRIMARY,,,"51.6018350502897, 0.612898279846083",Rochford District
14,Generation,Solar PV,0,53,Eastern Power Networks (EPN),EPN-S0000006U0079,6U0079,Connected,EPN-S0000000F6039,C54 PETERBOROUGH SOUTH PRI,,,"52.5190740086032, -0.265591877495316",Huntingdonshire District
6,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000008U8494,8U8494,Connected,EPN-S0000000H8151,K43 ABBOTS CENTRAL PRIMARY,,,"51.6932657604702, -0.430495960030462",Three Rivers District
6,Generation,Solar PV,0,11,Eastern Power Networks (EPN),EPN-S0000007U1425,7U1425,Connected,EPN-S0000000H7135,C37 THUNDERSLEY PRIMARY,,,"51.5575078940895, 0.574249847922669",Castle Point District (B)
10,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000003U0433,3U0433,Connected,EPN-S0000000H3071,A18 BURNHAM PRIMARY,,,"51.6315719000441, 0.811620890508354",Maldon District (B)
11,Generation,Solar PV,0,35,Eastern Power Networks (EPN),EPN-R00000000J54C-000-269Z,3R5241,Connected,EPN-S0000000H3059,J54 CHISBON HEATH PRIMARY,,,"51.8003431408902, 1.02032644305366",Tendring District
7,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-R00000000G09B-000-024Z,6R3228,Connected,EPN-S0000000H6055,G09 HARDWICK RD PRIMARY,,,"52.7575145144277, 0.366932266449481",King's Lynn and West Norfolk District (B)
23,Generation,Solar PV,0,110,Eastern Power Networks (EPN),EPN-S0000001U2630,1U2630,Connected,EPN-S0000000H1065,D28 LANGLEY AV PRIMARY,,,"51.9750611511569, 1.36819664189099",East Suffolk District
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-R00000000J47A-000-079Z,3R4694,Connected,EPN-S0000000H3021,J47 PELDON PRIMARY,,,"51.8491532148577, 0.955961927872245",Colchester District (B)
28,Generation,Solar PV,0,78,Eastern Power Networks (EPN),EPN-S0000003U2725,3U2725,Connected,EPN-S0000000H3028,J43 FOXASH PRIMARY,,,"51.97743176431, 1.01566766115798",Babergh District
7,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000001U0451,1U0451,Connected,EPN-S0000000H1061,B11 DRINKSTONE PRIMARY,,,"52.2346388308123, 0.827957683352356",Mid Suffolk District
8,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-R00000000E01A-000-197Z,4R2791,Connected,EPN-S0000000H4016,E01 ALDRETH PRIMARY,,,"52.3889027131225, 0.112515898290503",East Cambridgeshire District
12,Generation,Solar PV,0,40,Eastern Power Networks (EPN),EPN-S0000005U0736,5U0736,Connected,EPN-S0000000H5020,H12 LONG RD PRIMARY,,,"52.420060394096, 1.72161482108502",East Suffolk District
18,Generation,Solar PV,0,67,Eastern Power Networks (EPN),EPN-S0000004U2189,4U2189,Connected,EPN-S0000000H4007,E02 ELY PRIMARY,,,"52.4009274031117, 0.249689727974398",East Cambridgeshire District
20,Generation,Solar PV,0,68,Eastern Power Networks (EPN),EPN-S0000003U3278,3U3278,Connected,EPN-S0000000H3061,J51 FRINTON PRIMARY,,,"51.8360879290086, 1.23877267227245",Tendring District
8,Generation,Solar PV,0,21,Eastern Power Networks (EPN),EPN-S0000008U7554,8U7554,Connected,EPN-S0000000H8041,J58 SHEFFORD PRIMARY,,,"52.0175460219123, -0.339608561022142",Central Bedfordshire
10,Generation,Solar PV,0,35,Eastern Power Networks (EPN),EPN-S0000007U1615,7U1615,Connected,EPN-S0000000H7069,C35 LEIGH PRIMARY,,,"51.5470175894516, 0.669309177504318",Southend-on-Sea (B)
9,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000007U3211,7U3211,Connected,EPN-S0000000H7032,F17 NEW HARLOW PRIMARY,,,"51.7535999349762, 0.0784335797588191",Harlow District
8,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000008U5560,8U5560,Connected,EPN-S0000000H8033,F49 HEMEL EAST PRIMARY,,,"51.7476408825774, -0.443425512314546",Dacorum District (B)
9,Generation,Solar PV,0,46,Eastern Power Networks (EPN),EPN-S0000008U0345,8U0345,Connected,EPN-S0000000H8069,A03 BARTON PRIMARY,,,"52.0089411601651, -0.428601024029479",Central Bedfordshire
14,Generation,Solar PV,0,47,Eastern Power Networks (EPN),EPN-S0000003U3375,3U3375,Connected,EPN-S0000000H3063,J53 OLD RD PRIMARY,,,"51.7737152468816, 1.11522733947011",Tendring District
9,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000001U2101,1U2101,Connected,EPN-S0000000H1006,D14 HIGHFIELD PRIMARY,,,"52.0817830040034, 1.14582374016094",Ipswich District (B)
15,Generation,Solar PV,0,50,Eastern Power Networks (EPN),EPN-S0000005U0264,5U0264,Connected,EPN-S0000000H5036,H07 MARTHAM PRIMARY,,,"52.7019389235181, 1.63093482668249",Great Yarmouth District (B)
31,Generation,Solar PV,0,94,Eastern Power Networks (EPN),EPN-S0000003U2962,3U2962,Connected,EPN-S0000000H3021,J47 PELDON PRIMARY,,,"51.7801438283592, 0.907958888251083",Colchester District (B)
10,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000007U0888,7U0888,Connected,EPN-S0000000H7008,C31 GOOSEBERRY GRN PRIMARY,,,"51.6141687804928, 0.403367876418225",Basildon District (B)
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000003U2051,3U2051,Connected,EPN-S0000000F3002,A57 CHELMSFORD NORTH GRID,,,"51.7468898009974, 0.473116812082635",Chelmsford District (B)
42,Generation,Solar PV,0,92,Eastern Power Networks (EPN),EPN-S0000001U1322,1U1322,Connected,EPN-S0000000H1019,B26 SUDBURY PRIMARY,,,"52.0459436243734, 0.74083833632685",Babergh District
10,Generation,Solar PV,0,95,Eastern Power Networks (EPN),EPN-S0000006U0204,6U0204,Connected,EPN-S0000000N6060,C07 PETERBOROUGH CENT 11,,,"52.5702524084898, -0.222484657706192",City of Peterborough (B)
9,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000003U2532,3U2532,Connected,EPN-S0000000H3005,J40 LEXDEN PRIMARY,,,"51.8919456023341, 0.850916267536751",Colchester District (B)
8,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000008U7199,8U7199,Connected,EPN-S0000000H8154,J30 CELL BARNES PRIMARY,,,"51.7503388128123, -0.286557836093783",St. Albans District (B)
11,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000008U5944,8U5944,Connected,EPN-S0000000H8126,J14 NORTH STEVEGE PRIMARY,,,"51.920654792586, -0.220206576490459",Stevenage District (B)
10,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-R00000000D36E-000-151Z,1R7166,Connected,EPN-S0000000H1059,D36 CLAYDON CEMENT PRIMARY,,,"52.118648883821, 1.0159493327828",Mid Suffolk District
31,Generation,Solar PV,0,114,Eastern Power Networks (EPN),EPN-S0000001U0195,1U0195,Connected,EPN-S0000000H1027,B06 PLAYFIELD PRIMARY,,,"52.2488171976651, 0.682532094084202",West Suffolk District
6,Generation,Solar PV,0,76,Eastern Power Networks (EPN),EPN-S0000008U1579,8U1579,Connected,EPN-S0000000H8007,A35 CADDINGTON PRIMARY,,,"51.8637598334294, -0.44988460839459",Central Bedfordshire
10,Generation,Solar PV,0,33,Eastern Power Networks (EPN),EPN-S0000003U2593,3U2593,Connected,EPN-S0000000H3024,J42 ALRESFORD PRIMARY,,,"51.8697558505838, 0.963566496691781",Colchester District (B)
14,Generation,Solar PV,0,51,Eastern Power Networks (EPN),EPN-S0000008U6624,8U6624,Connected,EPN-S0000000H8047,J20 ADELAIDE ST PRIMARY,,,"51.7446664692393, -0.365767821276538",St. Albans District (B)
13,Generation,Solar PV,0,47,Eastern Power Networks (EPN),EPN-S0000008U7313,8U7313,Connected,EPN-S0000000H8154,J30 CELL BARNES PRIMARY,,,"51.7427150627084, -0.31491080522419",St. Albans District (B)
7,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-R00000000B42F-000-095Z,4R0440,Connected,EPN-S0000000H4074,B42 AUSTIN CANONS PRIMARY,,,"52.1083371383834, -0.542670834488241",Bedford (B)
6,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000008U6267,8U6267,Connected,EPN-S0000000H8132,J17 EAST HARPENDEN PRIMARY,,,"51.8173404864721, -0.307640920534535",St. Albans District (B)
10,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000005U1683,5U1683,Connected,EPN-S0000000H5049,H40 BECCLES PRIMARY,,,"52.4479743348149, 1.56814849597877",East Suffolk District
7,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000007U3498,7U3498,Connected,EPN-S0000000H7055,F29 WEST HERTFORD PRIMARY,,,"51.7975409393549, -0.09594793326815",East Hertfordshire District
68,Generation,Solar PV,0,227,Eastern Power Networks (EPN),EPN-S0000003U2516,3U2516,Connected,EPN-S0000000H3020,J41 PARSONS HEATH PRIMARY,,,"51.8912383339746, 0.929691107965958",Colchester District (B)
25,Generation,Solar PV,0,94,Eastern Power Networks (EPN),EPN-S0000001U0329,1U0329,Connected,EPN-S0000000H1014,B10 DISS GRID,,,"52.3643775750764, 1.10629370702447",Mid Suffolk District
44,Generation,Solar PV,0,161,Eastern Power Networks (EPN),EPN-S0000004U0336,4U0336,Connected,EPN-S0000000H4034,A01 AMPTHILL PRIMARY,,,"52.068138495081, -0.395902612235164",Central Bedfordshire
12,Generation,Solar PV,0,37,Eastern Power Networks (EPN),EPN-R00000000B20C-000-203Z,1R3572,Connected,EPN-S0000000H1037,B20 HITCHAM PRIMARY,,,"52.079917347348, 0.95149591038689",Babergh District
14,Generation,Solar PV,0,45,Eastern Power Networks (EPN),EPN-S0000003U1823,3U1823,Connected,EPN-S0000000F3002,A57 CHELMSFORD NORTH GRID,,,"51.7491675531967, 0.473113098273699",Chelmsford District (B)
19,Generation,Solar PV,0,66,Eastern Power Networks (EPN),EPN-S0000004U3310,4U3310,Connected,EPN-S0000000H4012,E18 SHEPRETH PRIMARY,,,"52.1157561771711, 0.0631806669925601",South Cambridgeshire District
10,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000004U3306,4U3306,Connected,EPN-S0000000H4012,E18 SHEPRETH PRIMARY,,,"52.0944934552105, 0.0743401406956582",South Cambridgeshire District
7,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000001U1993,1U1993,Connected,EPN-S0000000H1067,B63 WRATTING PRIMARY,,,"52.1504579094139, 0.440870426932304",West Suffolk District
29,Generation,Solar PV,0,85,Eastern Power Networks (EPN),EPN-S0000004U3300,4U3300,Connected,EPN-S0000000H4063,E16 CROYDON PRIMARY,,,"52.083001597616, -0.133062920569482",South Cambridgeshire District
10,Generation,Solar PV,0,35,Eastern Power Networks (EPN),EPN-S0000001U1687,1U1687,Connected,EPN-S0000000H1018,B55 STOWMARKET GRID,,,"52.1345869414957, 1.01963230552072",Mid Suffolk District
